Date,CA,CAName,NewPositive,TotalCases,CrudeRatePositive,TotalPositivePercent,NewDeaths,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20200916,S12000005,Clackmannanshire,0,212,411.331005044625,0.0344155844155844,0,31,60.1474582848273,5948,11540.5510283275
20200916,S12000006,Dumfries & Galloway,7,340,228.402525863227,0.0185437687482956,0,40,26.8708853956738,17995,12088.5395673787
20200916,S12000008,East Ayrshire,0,512,419.637734611917,0.0358593640565906,0,51,41.7998524711089,13766,11282.6817473978
20200916,S12000010,East Lothian,7,337,314.688579699318,0.0272477360931436,0,60,56.0276403025493,12031,11234.4756746662
20200916,S12000011,East Renfrewshire,5,504,527.582958233016,0.0372533077093651,0,52,54.4331623573746,13025,13634.4603789386
20200916,S12000013,Na h-Eileanan Siar,0,9,33.6826347305389,0.00406871609403255,0,0,0,2203,8244.76047904192
20200916,S12000014,Falkirk,11,759,471.750885698303,0.0367928644141742,0,75,46.6157001678165,19870,12350.0528311269
20200916,S12000017,Highland,6,300,127.21027859051,0.0122629169391759,0,30,12.721027859051,24164,10246.3639062036
20200916,S12000018,Inverclyde,2,396,508.997429305913,0.0343243477507151,0,64,82.2622107969152,11141,14320.0514138817
20200916,S12000019,Midlothian,5,581,628.379839930781,0.0464428457234213,0,87,94.0947436729396,11929,12901.7953709712
20200916,S12000020,Moray,2,119,124.191191817992,0.0120787657328461,0,13,13.5671049885201,9733,10157.587142559
20200916,S12000021,North Ayrshire,6,477,354.01514027015,0.0288618624069704,0,63,46.7567166394538,16050,11911.8301914799
20200916,S12000023,Orkney Islands,0,17,76.3358778625954,0.00969766115231033,0,1,4.49034575662326,1736,7795.24023349798
20200916,S12000026,Scottish Borders,4,424,367.067786338845,0.0314446751705725,0,39,33.7633105358843,13060,11306.3803999654
20200916,S12000027,Shetland Islands,0,57,248.69109947644,0.0201271186440678,0,5,21.8150087260035,2775,12107.3298429319
20200916,S12000028,South Ayrshire,3,483,428.913950803659,0.0351707565717614,0,57,50.6171743184442,13250,11766.2729775331
20200916,S12000029,South Lanarkshire,15,1677,523.195956696721,0.0378589488892902,0,185,57.7169063738184,42619,13296.4153121393
20200916,S12000030,Stirling,5,283,300.392739624244,0.0256852423307315,0,25,26.536461097548,10735,11394.7563952871
20200916,S12000033,Aberdeen City,8,1205,526.960248392881,0.0369201544212268,0,79,34.5476013469191,31433,13746.0095333887
20200916,S12000034,Aberdeenshire,1,651,249.224761686,0.0206136601120927,0,59,22.5871903832166,30930,11841.0474330998
20200916,S12000035,Argyll & Bute,5,205,238.732968440666,0.0199377553005252,0,35,40.7592872947479,10077,11735.1810876907
20200916,S12000036,City of Edinburgh,20,2107,401.386851580211,0.0359476566631976,0,263,50.1019183510182,56506,10764.4828834321
20200916,S12000038,Renfrewshire,13,891,497.48743718593,0.033398305720069,0,94,52.4846454494696,25787,14398.1016192071
20200916,S12000039,West Dunbartonshire,17,604,679.185876532104,0.0435283943499568,0,70,78.7135949623299,13272,14924.0976048578
20200916,S12000040,West Lothian,6,589,321.682140906608,0.0274758594952652,0,67,36.592026215183,20848,11386.1277990169
20200916,S12000041,Angus,1,531,456.97074010327,0.0365601762599835,0,46,39.5869191049914,13993,12042.1686746988
20200916,S12000042,Dundee City,8,1138,762.121618001607,0.052609680551061,0,113,75.6763996785427,20493,13724.2164478971
20200916,S12000045,East Dunbartonshire,3,656,603.829160530192,0.0422925665656631,0,66,60.7511045655376,14855,13673.6008836524
20200916,S12000047,Fife,3,1052,281.622272788114,0.0249727009447847,0,127,33.9981260875385,41074,10995.5829206264
20200916,S12000048,Perth & Kinross,3,541,356.038170450806,0.0280368988391376,0,47,30.9312273774268,18755,12342.8759460349
20200916,S12000049,Glasgow City,63,3599,568.454637351529,0.0409824865061832,0,383,60.4940611574425,84219,13302.2175890826
20200916,S12000050,North Lanarkshire,25,1762,516.155491109354,0.0369136655982234,1,170,49.7993379617424,45971,13466.6197967015
